,Unnamed: 0,repDS,U5_ITN_use,ci_l_u5,ci_u_u5,Number of Participants_u5,six_nine_ITN_use,ci_l_six,ci_u_six,Number of Participants_six,ten_eighteen_ITN_use,ci_l_10_18_,ci_u_10_18_,Number of Participants_10_18,over_eighteen_ITN_use,ci_l_18g,ci_u_18g,Number of Participants_18,simday,kill_rate,block_initial
0,1,Ahoada West,0.297458,19.4372,40.0544,54.55977,0.282724,16.5314,40.0135,23.45288,0.103883,6.9997,14.7949,14.43527,0.235337,16.4854,31.983,87.64861,152,0.398873826,0.53
1,2,Akinyele,0.030542,1.8967,4.689,17.39274,0.00908,0.1909,2.6792,2.78152,0.003973,0.0386,1.5776,2.07416,0.01934,1.3316,2.7332,26.38046,152,0.473688407,0.53
2,3,Alkaleri,0.481668,37.9401,58.3935,149.62422,0.306522,20.0678,41.2365,55.12317,0.256638,16.3188,37.1713,58.74331,0.410395,31.4171,50.6619,228.06879,152,0.725334064,0.848393779
3,4,Babura,0.375325,23.8719,51.1932,67.19842,0.214522,10.8805,36.078,25.60637,0.126023,6.9292,20.7204,23.63767,0.35084,20.7434,49.4245,110.22811,152,0.812252313,0.899570448
4,5,Birnin Kebbi,0.569073,41.5447,72.2698,142.60088,0.468955,34.1913,59.5997,58.80167,0.386894,26.3233,51.0556,45.44447,0.543094,41.0175,67.6012,193.32754,152,0.63870459,0.767918905
5,6,Darazo,0.467876,38.0129,55.5624,203.50377,0.313976,24.6511,38.1441,96.34065,0.226588,16.9084,29.3853,101.8054,0.470972,38.0274,56.167,378.23301,152,0.811199953,0.899078996
6,7,Gawabawa,0.568552,37.5901,76.1203,86.90585,0.449599,20.5213,69.3985,48.22948,0.309016,16.149,45.6542,34.32335,0.454883,24.254,66.7225,123.65098,152,0.811368898,0.899158073
7,8,Giwa,0.134165,2.4693,36.7087,54.00223,0.082396,2.0641,21.1,11.193,0.07095,2.3269,16.1525,12.98901,0.163309,4.1232,38.9336,67.07463,152,0.683525555,0.814114104
8,9,Gwarzo,0.420323,31.0794,52.9851,206.8346,0.246546,16.1563,35.064,68.43328,0.192161,13.4003,26.3506,60.42319,0.376232,28.7753,46.4712,266.65624,152,0.810818978,0.898900422
9,10,Isoko South,0.127069,8.7511,17.7367,33.02906,0.150564,10.8673,20.1955,16.37179,0.05675,3.324,9.0689,10.10076,0.070842,4.7919,10.1004,34.32745,152,0.276802621,0.53
10,11,Keana,0.086925,5.6629,12.7412,34.89612,0.045652,2.8071,7.0454,9.73246,0.033073,1.7923,5.6266,11.82915,0.087142,6.2377,11.8411,73.02411,152,0.656105905,0.787159243
11,12,Ngor-Okpala,0.111874,6.454,17.86,29.32031,0.104696,6.0139,16.7929,12.01292,0.070636,3.762,12.0472,17.06531,0.082566,4.7673,13.2606,62.81125,152,0.69747891,0.826404684
12,13,Nsit Ubium,0.359616,30.6044,41.3188,81.0058,0.270466,21.7902,32.8879,29.9973,0.256547,21.5021,30.2062,54.12395,0.33223,26.9528,39.4932,164.73707,152,0.606309481,0.727067458
13,14,Obubra,0.276763,22.0718,33.918,56.7093,0.182744,13.3214,24.2411,19.92889,0.131963,9.9415,17.1191,24.53802,0.210253,17.4922,24.9596,94.57444,152,0.692752074,0.822342079
14,15,Oke-Ero,0.270838,17.6394,38.5056,163.68108,0.13812,8.8667,20.3095,52.04674,0.087266,5.5939,12.952,47.7887,0.238467,15.4265,34.2649,322.44135,152,0.496678076,0.53
15,16,Oru West,0.343099,25.8636,42.7561,48.57905,0.295986,23.0056,36.1916,23.80347,0.22,16.1749,28.8803,34.90672,0.30471,22.786,38.156,126.30368,152,0.656867497,0.787961735
16,17,Owan East,0.135833,7.6187,21.981,54.57893,0.152454,6.0826,29.97,34.84924,0.09921,3.418,21.6476,34.22105,0.178525,7.0176,34.8809,154.37385,152,0.508487304,0.553049555
17,18,Rimi,0.039721,1.9924,7.1243,9.38682,0.05373,2.0175,11.4855,5.48373,0.073584,4.2269,11.8858,13.10445,0.069461,4.6077,10.0619,21.64187,152,0.815664762,0.901145852
18,19,Soba,0.449095,34.9876,54.8314,108.01151,0.414473,29.5529,53.3417,56.15276,0.262517,19.3978,34.1793,56.03117,0.366416,29.6906,43.5926,164.83466,152,0.659005579,0.790197508
19,20,Takali,0.400642,25.4363,54.6921,132.47963,0.283668,16.5156,40.218,50.64114,0.217615,12.7409,33.5414,49.6352,0.436971,30.6158,56.7783,205.81193,152,0.795754334,0.891549987
20,21,Taura,0.536466,44.8532,62.44,185.14506,0.440115,36.269,51.754,95.11953,0.368967,30.358,43.4355,109.37024,0.583397,51.5428,65.1365,326.49727,152,0.822594913,0.904261349
21,22,Uzo-Uwani,0.132715,9.0399,18.6714,52.20759,0.074567,3.9405,12.7724,16.20758,0.067922,3.0734,12.9087,26.64902,0.080524,4.5579,13.1247,83.07521,152,0.561468542,0.657890692
