DS_Name,IRS_day,year,coverage,initial_killing,box_duration,decay_time_constant,notes
Diebougou,165,2010,0.58,0.6,60,120,carbamate based on PMI data from Burkina
Diebougou,530,2011,0.58,0.6,60,120,carbamate based on PMI data from Burkina
Diebougou,895,2012,0.58,0.6,60,120,carbamate based on PMI data from Burkina
Kongoussi,3076,2018,0.7,0.7,180,90,Actellic from Benin and Cote d'Ivoire
Kongoussi,3441,2019,0.193548387,0.7,180,90,Sumishield from mix Sumishield and Actellic
Kongoussi,3441,2019,0.38,0.7,180,90,Actellic from mix Sumishield and Actellic
Kongoussi,3806,2020,0.5,0.7,180,90,Sumishield from Benin
Kampti,3076,2018,0.35,0.7,180,90,Sumishield from Benin
Kampti,3441,2019,0.35,0.7,180,120,Fludora from Benin and Cote d'Ivoire
Kampti,3806,2020,0.35,0.7,180,120,Fludora from Benin and Cote d'Ivoire
Solenzo,3076,2018,0.620253165,0.7,180,90,Sumishield from mix Sumishield and Actellic
Solenzo,3076,2018,0.21,0.5,180,90,Actellic from mix Sumishield and Actellic
Solenzo,3441,2019,0.7,0.7,180,90,Sumishield from Benin
Solenzo,3806,2020,0.7,0.7,180,90,Sumishield from Benin
